MAG_Id	total_length	num_contigs	N50	GC_content	Anvio-Comp	Anvio-Red	Unique_markers	Multicopy	Domain
TARA_ANE_MAG_00081	2147585	492	4361	48.17	60.44	3.63	29	1	Bacteria
TARA_ANE_MAG_00082	2907096	589	5155	42.61	57.65	6.47	24	4	Bacteria
TARA_ANE_MAG_00083	2313498	514	4544	47.72	52.08	0.94	20	0	Bacteria
TARA_ANE_MAG_00084	4003387	107	54342	44.96	52.56	3.87	13	0	Bacteria
TARA_ANE_MAG_00085	3423600	662	5631	50.00	48.10	1.83	17	0	Bacteria
TARA_ANE_MAG_00087	3171046	630	5338	48.93	33.96	1.72	8	0	Bacteria
TARA_ANE_MAG_00089	3246719	657	5171	52.31	31.94	1.43	9	0	Bacteria
TARA_ANE_MAG_00092	3160019	503	7075	44.08	20.61	1.99	2	0	Bacteria
TARA_ANE_MAG_00094	2084911	592	3382	60.30	22.46	5.51	4	1	Bacteria
TARA_ANE_MAG_00095	2013794	437	4789	45.11	12.96	0.00	1	0	Bacteria
TARA_ANE_MAG_00096	2071192	474	4300	44.71	10.11	0.23	2	0	Bacteria
TARA_ANW_MAG_00001	3686209	15	411334	62.38	98.69	4.20	43	0	Bacteria
TARA_ANW_MAG_00002	3031081	179	25594	63.50	98.87	4.56	43	0	Bacteria
TARA_ANW_MAG_00003	2383660	26	147783	48.58	98.87	4.82	43	0	Bacteria
TARA_ANW_MAG_00004	2825991	51	77408	54.69	98.65	4.82	43	0	Bacteria
TARA_ANW_MAG_00005	2343823	21	203212	42.78	98.29	5.05	43	0	Bacteria
TARA_ANW_MAG_00006	5485499	112	76792	54.23	98.11	5.59	43	0	Bacteria
TARA_ANW_MAG_00007	4419433	353	17998	48.42	95.27	3.00	41	1	Bacteria
TARA_ANW_MAG_00008	2983999	100	47054	45.10	96.35	4.56	42	0	Bacteria
TARA_ANW_MAG_00009	5050254	86	98958	64.90	96.53	4.82	43	0	Bacteria
TARA_ANW_MAG_00010	2730469	372	8749	39.51	96.71	5.58	42	1	Bacteria
TARA_ANW_MAG_00011	4118582	237	27640	64.18	96.99	6.01	43	0	Bacteria
TARA_ANW_MAG_00012	2187424	236	12022	34.51	92.67	1.90	41	1	Bacteria
TARA_ANW_MAG_00013	2062092	144	26966	31.01	94.24	4.16	42	0	Bacteria
TARA_ANW_MAG_00014	2774374	209	19951	57.89	93.79	4.33	42	0	Bacteria
TARA_ANW_MAG_00015	4707613	42	199635	50.00	92.19	2.75	41	0	Bacteria
TARA_ANW_MAG_00016	866720	59	20628	33.52	90.86	1.77	41	0	Bacteria
TARA_ANW_MAG_00017	4802337	60	170966	52.89	91.79	2.75	41	0	Bacteria
TARA_ANW_MAG_00018	2300803	279	9934	38.26	95.59	6.55	42	1	Bacteria
TARA_ANW_MAG_00019	3991736	487	10488	58.72	91.20	4.27	42	1	Bacteria
TARA_ANW_MAG_00020	3989233	192	31982	60.63	93.54	6.93	40	0	Bacteria
TARA_ANW_MAG_00021	1581522	55	42099	29.86	89.98	3.42	38	0	Bacteria
TARA_ANW_MAG_00022	5422980	944	6367	55.54	90.29	4.07	41	2	Bacteria
TARA_ANW_MAG_00023	1467503	147	13753	30.13	87.88	3.65	40	0	Bacteria
TARA_ANW_MAG_00025	1013203	196	5539	34.11	88.00	4.92	39	2	Bacteria
TARA_ANW_MAG_00026	1602682	95	27912	27.77	88.85	5.84	36	0	Bacteria
TARA_ANW_MAG_00027	633839	5	206415	39.47	85.19	2.28	39	1	Bacteria
TARA_ANW_MAG_00028	868128	8	211838	44.40	84.51	1.65	38	1	Bacteria
TARA_ANW_MAG_00029	1235550	209	6570	29.11	85.34	2.97	37	0	Bacteria
TARA_ANW_MAG_00030	1869178	124	27761	27.64	85.69	5.84	32	7	Bacteria
TARA_ANW_MAG_00031	2155750	404	5616	40.13	81.09	2.39	40	0	Bacteria
TARA_ANW_MAG_00032	2005933	276	9031	39.67	86.91	8.30	35	5	Bacteria
TARA_ANW_MAG_00034	1404930	193	9192	28.02	84.00	5.91	37	0	Bacteria
TARA_ANW_MAG_00035	2657195	378	8705	48.96	81.61	3.55	33	1	Bacteria
TARA_ANW_MAG_00036	3386422	289	17150	64.38	83.46	5.77	31	0	Bacteria
TARA_ANW_MAG_00037	5009243	913	6019	68.00	83.32	5.73	35	0	Bacteria
TARA_ANW_MAG_00038	754332	57	16059	28.74	78.13	0.86	38	0	Bacteria
TARA_ANW_MAG_00039	5055328	1002	5346	56.60	79.75	3.29	34	0	Bacteria
TARA_ANW_MAG_00040	3168685	470	8006	61.71	80.16	4.85	30	1	Bacteria
TARA_ANW_MAG_00041	1676457	332	5539	46.92	79.50	4.74	39	2	Bacteria
TARA_ANW_MAG_00042	1263428	151	11751	31.13	80.18	5.44	34	0	Bacteria
TARA_ANW_MAG_00044	1224834	219	6113	30.33	76.44	2.91	27	0	Bacteria
TARA_ANW_MAG_00048	1171140	92	17916	31.34	75.03	2.90	40	0	Bacteria
TARA_ANW_MAG_00049	1404808	93	34970	36.25	74.40	3.46	28	0	Bacteria
TARA_ANW_MAG_00050	1205652	219	6070	45.18	75.87	5.05	38	0	Bacteria
TARA_ANW_MAG_00051	707381	48	30669	28.39	71.88	1.10	38	0	Bacteria
TARA_ANW_MAG_00052	1364737	229	6982	44.67	76.55	6.19	33	1	Bacteria
TARA_ANW_MAG_00053	787141	128	6424	34.75	73.21	2.94	35	0	Bacteria
TARA_ANW_MAG_00054	1415007	157	11458	42.32	71.36	1.26	32	0	Bacteria
TARA_ANW_MAG_00055	1123121	226	5407	42.87	70.77	2.62	25	1	Bacteria
TARA_ANW_MAG_00056	2837143	420	8017	56.35	69.94	1.90	27	0	Bacteria
TARA_ANW_MAG_00057	1981511	152	16537	37.64	71.22	3.64	22	0	Bacteria
TARA_ANW_MAG_00058	2299386	537	4250	53.58	76.96	9.79	36	4	Bacteria
TARA_ANW_MAG_00059	3331133	655	5507	61.95	75.46	8.67	36	1	Bacteria
TARA_ANW_MAG_00060	1006534	252	4070	57.25	72.26	7.60	37	1	Bacteria
TARA_ANW_MAG_00061	1149603	33	51128	36.82	70.39	5.90	29	0	Bacteria
TARA_ANW_MAG_00062	2164139	475	4651	47.92	70.59	6.51	31	2	Bacteria
TARA_ANW_MAG_00063	6764723	1390	5048	51.15	67.15	4.01	28	2	Bacteria
TARA_ANW_MAG_00064	1194586	120	18524	28.03	70.21	8.87	25	1	Bacteria
TARA_ANW_MAG_00065	5058444	705	8789	50.42	67.35	8.62	20	0	Bacteria
TARA_ANW_MAG_00066	2299262	417	5986	65.69	57.14	3.86	15	0	Bacteria
TARA_ANW_MAG_00067	2235982	465	5145	41.10	52.59	1.36	20	0	Bacteria
TARA_ANW_MAG_00068	2733339	279	14462	50.85	54.07	4.45	20	0	Bacteria
TARA_ANW_MAG_00069	2211370	374	6776	41.15	44.39	4.09	10	0	Bacteria
TARA_ANW_MAG_00070	2068611	461	4432	61.24	38.30	0.41	11	1	Bacteria
TARA_ANW_MAG_00072	2210463	589	3756	52.54	28.46	0.63	13	0	Bacteria
TARA_ANW_MAG_00073	2223039	294	10268	39.84	25.37	0.54	15	0	Bacteria
TARA_ANW_MAG_00076	5101853	1283	3878	35.92	20.79	1.62	15	1	Bacteria
TARA_ANW_MAG_00077	2297205	262	11226	48.10	18.90	0.18	6	0	Bacteria
TARA_ANW_MAG_00082	3186425	558	6361	38.91	12.59	1.08	7	0	Bacteria
TARA_ANW_MAG_00087	2714349	423	7601	35.78	4.84	0.36	4	0	Bacteria
TARA_ASE_MAG_00001	3419659	44	126711	51.55	95.53	5.63	42	0	Bacteria
TARA_ASE_MAG_00002	3666930	146	41224	37.72	95.28	5.59	43	0	Bacteria
TARA_ASE_MAG_00003	4242118	608	8193	35.74	93.51	5.66	41	1	Bacteria
TARA_ASE_MAG_00004	2390320	158	23244	51.95	94.69	8.44	36	5	Bacteria
TARA_ASE_MAG_00005	2140986	288	9104	54.96	86.15	2.95	37	0	Bacteria
TARA_ASE_MAG_00006	2981946	545	6001	60.11	86.64	4.56	42	0	Bacteria
TARA_ASE_MAG_00007	1647928	330	5246	44.81	85.13	4.58	39	3	Bacteria
TARA_ASE_MAG_00008	1160037	48	47723	30.75	79.26	5.12	27	0	Bacteria
TARA_ASE_MAG_00010	3184547	598	5933	56.79	80.23	6.21	34	1	Bacteria
TARA_ASE_MAG_00012	898180	96	10676	35.85	73.63	3.13	39	1	Bacteria
TARA_ASE_MAG_00013	1276601	137	13307	30.78	72.95	2.76	29	1	Bacteria
TARA_ASE_MAG_00014	1584976	256	6981	44.43	76.77	6.60	29	2	Bacteria
TARA_ASE_MAG_00015	1872923	304	6996	39.52	76.32	6.55	30	1	Bacteria
TARA_ASE_MAG_00017	713096	173	4004	32.26	76.06	6.60	35	5	Bacteria
TARA_ASE_MAG_00019	2068822	499	4231	48.78	72.64	3.81	34	1	Bacteria
TARA_ASE_MAG_00020	2066896	473	4387	54.88	68.15	1.86	35	0	Bacteria
TARA_ASE_MAG_00021	2485612	302	11051	35.99	64.35	0.98	26	0	Bacteria
TARA_ASE_MAG_00022	2274327	378	6755	51.33	52.95	4.85	20	1	Bacteria
TARA_ASE_MAG_00023	3385614	378	11843	44.93	40.09	1.83	14	0	Bacteria
TARA_ASE_MAG_00025	5244766	1371	3687	37.64	29.05	4.68	13	3	Bacteria
TARA_ASE_MAG_00027	2072055	408	5329	51.54	23.28	0.00	13	0	Bacteria
TARA_ASE_MAG_00028	2401790	684	3394	50.89	26.54	3.70	12	0	Bacteria
TARA_ASE_MAG_00029	2634469	437	6669	36.02	21.79	1.75	10	0	Bacteria
TARA_ASE_MAG_00031	2195948	459	4655	44.01	16.54	0.18	3	0	Bacteria
TARA_ASW_MAG_00001	2270481	83	46097	44.05	97.61	4.20	43	0	Bacteria
TARA_ASW_MAG_00002	4012046	28	214194	62.29	98.65	5.36	43	0	Bacteria
TARA_ASW_MAG_00003	1431901	14	175086	30.98	96.71	3.98	43	0	Bacteria
TARA_ASW_MAG_00004	3202824	282	14735	51.70	95.99	5.72	40	2	Bacteria
TARA_ASW_MAG_00005	1992647	175	16226	34.41	89.87	0.92	40	1	Bacteria
TARA_ASW_MAG_00006	3084735	84	55861	58.45	96.85	7.90	43	0	Bacteria
TARA_ASW_MAG_00007	1459058	311	4394	62.89	89.51	1.10	41	1	Bacteria
TARA_ASW_MAG_00008	3571655	265	18420	61.57	93.89	5.51	35	0	Bacteria
TARA_ASW_MAG_00009	3295614	182	28252	65.43	93.77	7.53	39	1	Bacteria
TARA_ASW_MAG_00010	2239951	154	24364	70.12	90.67	4.74	38	1	Bacteria
TARA_ASW_MAG_00012	4451478	104	64927	35.97	89.12	3.82	31	0	Bacteria
TARA_ASW_MAG_00014	1502364	328	4620	52.96	82.48	3.71	37	0	Bacteria
TARA_ASW_MAG_00015	1186771	158	9734	42.47	79.75	1.59	39	0	Bacteria
TARA_ASW_MAG_00016	2623217	434	7044	58.49	83.57	6.79	31	2	Bacteria
TARA_ASW_MAG_00018	2217978	184	17183	37.64	76.63	1.66	33	0	Bacteria
TARA_ASW_MAG_00020	734295	79	11566	31.44	76.09	1.83	37	1	Bacteria
TARA_ASW_MAG_00022	2027223	504	4038	62.45	71.17	1.32	32	0	Bacteria
TARA_ASW_MAG_00023	1594234	30	86473	35.16	74.26	4.47	27	3	Bacteria
TARA_ASW_MAG_00025	860883	143	7472	44.63	71.20	4.96	28	2	Bacteria
TARA_ASW_MAG_00026	2014761	191	14127	69.02	63.47	2.52	24	0	Bacteria
TARA_ASW_MAG_00027	2394703	500	4971	65.62	58.06	1.21	21	0	Bacteria
TARA_ASW_MAG_00028	3147825	382	10747	45.09	43.08	1.48	15	0	Bacteria
TARA_ASW_MAG_00029	3864562	181	33768	61.57	44.97	6.17	7	0	Bacteria
TARA_ASW_MAG_00030	2679253	339	10566	61.35	39.53	4.27	8	0	Bacteria
TARA_ASW_MAG_00031	2212212	419	5754	57.82	33.83	0.41	7	0	Bacteria
TARA_ASW_MAG_00033	2135916	592	3501	45.90	25.86	1.62	10	0	Bacteria
TARA_ASW_MAG_00044	2373764	652	3598	39.78	11.81	2.30	2	0	Bacteria
TARA_ION_MAG_00001	2070973	83	31708	43.48	98.65	4.11	42	1	Bacteria
TARA_ION_MAG_00002	3232488	92	53659	67.40	98.29	3.93	43	0	Bacteria
TARA_ION_MAG_00003	2330767	8	1188021	47.59	98.69	4.82	43	0	Bacteria
TARA_ION_MAG_00004	3376283	40	129173	52.36	98.33	4.82	43	0	Bacteria
TARA_ION_MAG_00005	4164337	54	135871	68.05	98.65	5.77	43	0	Bacteria
TARA_ION_MAG_00006	1398014	104	19430	30.62	93.21	0.63	42	0	Bacteria
TARA_ION_MAG_00007	3414069	312	16720	48.85	96.35	3.77	42	0	Bacteria
TARA_ION_MAG_00008	3013386	81	54341	58.47	94.64	2.61	42	0	Bacteria
TARA_ION_MAG_00009	1912389	60	57586	44.59	95.44	3.46	40	0	Bacteria
TARA_ION_MAG_00010	3397202	141	40015	65.49	96.76	4.92	37	0	Bacteria
TARA_ION_MAG_00011	957642	45	31837	30.06	96.35	4.60	43	0	Bacteria
TARA_ION_MAG_00012	1332144	51	41033	32.35	93.50	2.13	41	0	Bacteria
TARA_ION_MAG_00013	1989346	206	12441	40.72	94.92	4.04	41	0	Bacteria
TARA_ION_MAG_00014	4469063	110	57949	52.39	97.48	8.07	42	1	Bacteria
TARA_ION_MAG_00015	2980441	91	54194	70.12	94.70	5.51	34	2	Bacteria
TARA_ION_MAG_00016	2566670	80	69866	44.09	92.26	4.60	40	0	Bacteria
TARA_ION_MAG_00017	3389873	184	36571	47.58	93.87	6.40	40	1	Bacteria
TARA_ION_MAG_00018	779316	62	17416	31.19	88.86	1.99	42	0	Bacteria
TARA_ION_MAG_00019	3352308	478	8722	53.23	92.27	5.95	40	1	Bacteria
TARA_ION_MAG_00020	943990	118	11019	33.96	88.38	2.32	41	0	Bacteria
TARA_ION_MAG_00021	3230972	494	7610	43.50	86.04	0.23	33	0	Bacteria
TARA_ION_MAG_00022	1307001	159	10441	27.94	89.89	4.29	33	0	Bacteria
TARA_ION_MAG_00023	3076003	136	38979	63.35	90.56	5.85	39	0	Bacteria
TARA_ION_MAG_00024	905795	118	9507	43.48	88.66	4.38	41	1	Bacteria
TARA_ION_MAG_00025	6266622	630	13172	59.05	87.98	4.90	33	0	Bacteria
TARA_ION_MAG_00026	1674225	243	8185	64.43	86.56	4.00	39	3	Bacteria
TARA_ION_MAG_00027	2170694	209	16172	46.63	89.06	6.58	40	1	Bacteria
TARA_ION_MAG_00028	1032139	173	6849	46.07	82.76	1.59	38	0	Bacteria
TARA_ION_MAG_00029	2680014	361	9004	63.84	82.19	2.07	32	0	Bacteria
TARA_ION_MAG_00030	923008	69	19636	31.68	85.16	5.14	34	3	Bacteria
TARA_ION_MAG_00031	1635760	257	7547	38.35	81.94	2.68	38	1	Bacteria
TARA_ION_MAG_00032	3679393	231	23602	56.82	84.16	4.94	29	0	Bacteria
TARA_ION_MAG_00035	1319630	217	6775	31.07	81.82	4.20	39	0	Bacteria
TARA_ION_MAG_00036	1734754	256	7836	37.42	79.43	2.90	39	0	Bacteria
TARA_ION_MAG_00037	3189943	605	5834	39.54	79.83	3.53	37	0	Bacteria
TARA_ION_MAG_00038	1215632	122	13928	28.72	80.92	4.64	27	0	Bacteria
TARA_ION_MAG_00039	1530244	289	5523	29.75	80.64	4.89	30	0	Bacteria
TARA_ION_MAG_00041	2015395	353	6375	42.34	76.16	1.77	34	0	Bacteria
TARA_ION_MAG_00042	1865483	348	5608	54.41	76.96	2.80	35	2	Bacteria
TARA_ION_MAG_00043	1967998	302	7834	34.09	76.89	2.75	36	1	Bacteria
TARA_ION_MAG_00045	1068602	215	5225	36.07	78.33	6.34	36	2	Bacteria
TARA_ION_MAG_00046	847736	126	8236	31.09	73.87	2.28	31	0	Bacteria
TARA_ION_MAG_00047	2067447	333	7487	36.03	73.41	2.46	28	1	Bacteria
TARA_ION_MAG_00048	1573997	391	3882	54.79	74.88	4.44	34	1	Bacteria
TARA_ION_MAG_00049	1256771	228	5936	38.36	70.56	0.18	33	1	Bacteria
TARA_ION_MAG_00050	467414	44	15057	31.79	71.93	2.13	37	2	Bacteria
TARA_ION_MAG_00051	2587706	562	4843	43.90	72.24	2.70	32	0	Bacteria
TARA_ION_MAG_00052	602911	69	12390	32.42	74.80	5.37	33	3	Bacteria
TARA_ION_MAG_00053	635503	34	33356	29.02	73.43	4.05	26	0	Bacteria
TARA_ION_MAG_00054	593001	52	19471	33.00	73.92	5.10	37	1	Bacteria
TARA_ION_MAG_00055	1230383	248	5239	52.88	71.13	3.13	35	0	Bacteria
TARA_ION_MAG_00056	1879694	391	5054	51.29	72.39	4.89	35	1	Bacteria
TARA_ION_MAG_00057	1553598	303	5542	34.02	71.25	3.75	34	0	Bacteria
TARA_ION_MAG_00058	5118753	132	58905	64.78	71.43	4.05	22	0	Bacteria
TARA_ION_MAG_00059	2385132	624	3744	46.29	72.84	7.43	37	0	Bacteria
TARA_ION_MAG_00060	1634903	353	4802	27.74	70.43	5.56	30	1	Bacteria
TARA_ION_MAG_00061	3384611	594	6266	59.18	57.00	3.33	23	0	Bacteria
TARA_ION_MAG_00062	2626023	298	11839	64.96	54.04	0.63	14	0	Bacteria
TARA_ION_MAG_00063	2931211	184	20955	63.90	49.99	1.90	13	0	Bacteria
TARA_ION_MAG_00064	2133473	535	3983	34.91	44.09	4.05	10	0	Bacteria
TARA_ION_MAG_00065	2471135	358	8004	61.14	41.32	4.45	14	0	Bacteria
TARA_ION_MAG_00067	2941447	345	10655	51.65	40.14	5.63	8	1	Bacteria
TARA_ION_MAG_00069	3836682	241	25253	44.92	38.00	5.36	7	0	Bacteria
TARA_ION_MAG_00070	2257910	350	7258	49.41	27.12	0.80	7	0	Bacteria
TARA_ION_MAG_00074	2827442	615	4741	35.50	3.71	0.00	2	0	Bacteria
TARA_IOS_MAG_00001	2081161	47	70934	46.64	96.81	1.14	43	0	Bacteria
TARA_IOS_MAG_00002	2229706	90	35945	47.54	98.47	4.56	43	0	Bacteria
TARA_IOS_MAG_00003	4064019	41	188567	59.37	98.65	4.74	43	0	Bacteria
TARA_IOS_MAG_00004	2981990	79	55332	48.33	97.61	4.49	43	0	Bacteria
TARA_IOS_MAG_00005	3237345	23	233608	48.64	96.85	3.75	43	0	Bacteria
TARA_IOS_MAG_00006	3234375	124	40083	65.04	97.88	4.82	40	0	Bacteria
TARA_IOS_MAG_00007	4062480	124	53673	66.40	97.84	4.78	41	0	Bacteria
TARA_IOS_MAG_00008	3359870	72	81492	63.90	97.48	4.74	43	0	Bacteria
TARA_IOS_MAG_00009	3979872	61	109581	68.57	98.47	5.77	43	0	Bacteria
TARA_IOS_MAG_00010	1800217	88	26905	40.82	94.18	2.46	42	0	Bacteria
TARA_IOS_MAG_00011	1769542	178	13844	42.99	92.93	1.77	39	0	Bacteria
TARA_IOS_MAG_00012	1152042	76	22309	29.04	96.58	5.52	41	1	Bacteria
TARA_IOS_MAG_00013	5490803	613	11912	58.88	96.40	7.58	42	1	Bacteria
TARA_IOS_MAG_00014	3606855	309	17164	51.27	94.46	5.66	41	1	Bacteria
TARA_IOS_MAG_00015	982818	54	27885	31.69	90.98	2.21	42	0	Bacteria
TARA_IOS_MAG_00016	1769221	184	13928	29.93	94.24	6.17	38	3	Bacteria
TARA_IOS_MAG_00017	2258247	210	15147	38.70	91.63	4.01	40	2	Bacteria
TARA_IOS_MAG_00018	3477938	555	7212	57.36	88.78	1.83	41	0	Bacteria
TARA_IOS_MAG_00019	2176465	336	7875	32.62	92.68	7.42	39	3	Bacteria
TARA_IOS_MAG_00020	1450534	94	23648	28.98	90.84	5.95	36	0	Bacteria
TARA_IOS_MAG_00021	1204041	122	13727	43.95	89.29	5.23	42	0	Bacteria
TARA_IOS_MAG_00023	4138368	81	86124	63.74	89.84	6.13	31	1	Bacteria
TARA_IOS_MAG_00024	895557	94	12955	28.61	90.75	7.18	42	0	Bacteria
TARA_IOS_MAG_00025	833487	75	15072	32.52	84.44	1.66	37	0	Bacteria
TARA_IOS_MAG_00026	1599775	365	4398	52.14	85.69	4.21	40	2	Bacteria
TARA_IOS_MAG_00027	2156714	377	6329	66.02	86.69	5.74	39	0	Bacteria
TARA_IOS_MAG_00028	1610285	199	10677	41.32	89.18	8.29	38	0	Bacteria
TARA_IOS_MAG_00029	2507845	353	8263	53.90	85.47	5.41	35	0	Bacteria
TARA_IOS_MAG_00031	1474611	200	9888	29.74	78.61	0.63	34	0	Bacteria
TARA_IOS_MAG_00032	830192	131	7355	33.39	82.18	4.64	38	3	Bacteria
TARA_IOS_MAG_00033	2003483	201	13255	56.63	81.39	4.09	37	0	Bacteria
TARA_IOS_MAG_00034	2273956	370	7017	58.10	80.72	3.60	33	0	Bacteria
TARA_IOS_MAG_00035	3247475	512	7579	49.43	78.15	1.25	31	0	Bacteria
TARA_IOS_MAG_00036	1111341	225	5354	47.71	79.95	3.13	35	0	Bacteria
TARA_IOS_MAG_00037	674727	81	11375	32.91	77.23	0.85	37	0	Bacteria
